City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Guerrero Negro,MX,27.9769,-114.0611,67.32,44,0,12.3,clear sky
194,Sampit,ID,-2.5333,112.95,73.9,97,94,0.78,overcast clouds
195,Kurilsk,RU,45.2333,147.8833,20.12,92,100,14.36,light snow
196,Aloleng,PH,16.1307,119.7824,77.38,75,22,7.0,few clouds
197,Iskateley,RU,67.6803,53.1512,-8.95,90,91,12.17,overcast clouds
198,Peru,US,40.7537,-86.0689,21.99,86,75,23.02,broken clouds
199,Pangoa,PE,-12.1167,-73.0,76.89,92,98,4.9,overcast clouds
200,Chake Chake,TZ,-5.2459,39.7666,79.41,78,0,9.42,clear sky
201,Eskhar,UA,49.7987,36.5883,19.4,68,90,15.66,snow
202,Bathsheba,BB,13.2167,-59.5167,84.2,54,40,23.02,scattered clouds
203,Ahipara,NZ,-35.1667,173.1667,61.68,86,100,3.87,overcast clouds
204,Carnarvon,AU,-24.8667,113.6333,80.6,79,90,23.02,overcast clouds
205,Tautira,PF,-17.7333,-149.15,82.0,65,55,1.99,broken clouds
206,Chokurdakh,RU,70.6333,147.9167,-11.09,88,100,15.68,overcast clouds
207,Yuli,NG,9.6989,10.2744,83.19,16,56,7.96,broken clouds
208,Sao Sebastiao,BR,-23.76,-45.4097,75.13,87,100,7.25,overcast clouds
209,Port Hedland,AU,-20.3167,118.5667,77.0,94,22,4.61,few clouds
210,Sioux Lookout,CA,50.1001,-91.917,-4.0,65,90,14.97,snow
211,Ranong,TH,9.9658,98.6348,74.07,87,41,3.4,scattered clouds
212,Adrar,MR,20.5022,-10.0711,71.31,22,2,9.04,clear sky
213,Kailua,US,21.4022,-157.7394,69.8,64,20,7.65,few clouds
214,Broken Hill,AU,-31.95,141.4333,62.6,63,0,10.36,clear sky
215,High Rock,BS,26.6208,-78.2833,73.4,60,40,14.97,scattered clouds
216,Kalabo,ZM,-14.97,22.6814,72.66,80,4,3.22,clear sky
