City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Verkhoyansk,RU,2021-02-04 02:15:00,67.5447,133.385,-42.65,70,0,2.13
138,Ndjole,GA,2021-02-04 02:16:25,-0.1783,10.7649,75.11,93,100,0.72
139,Tabuk,PH,2021-02-04 02:16:26,17.4189,121.4443,74.5,73,13,4.65
140,Muhos,FI,2021-02-04 02:16:26,64.808,25.9931,14.0,85,90,9.22
141,U Thong,TH,2021-02-04 02:16:26,14.3751,99.8923,84.0,53,0,3.56
142,Birjand,IR,2021-02-04 02:16:26,32.8663,59.2211,24.8,30,0,2.8
143,Mataura,NZ,2021-02-04 02:13:56,-46.1927,168.8643,65.77,32,0,8.3
144,Boden,SE,2021-02-04 02:11:44,65.8252,21.6886,8.6,92,90,10.36
145,Barra Patuca,HN,2021-02-04 02:16:27,15.8,-84.2833,72.0,74,3,9.24
146,Vila Franca Do Campo,PT,2021-02-04 02:16:27,37.7167,-25.4333,51.8,71,40,8.05
147,Puerto Ayora,EC,2021-02-04 02:14:40,-0.7393,-90.3518,75.99,95,17,8.21
148,Bam,IR,2021-02-04 02:16:27,29.106,58.357,43.81,52,0,1.39
149,Vanavara,RU,2021-02-04 02:16:27,60.34,102.2797,-13.54,89,100,3.06
150,Tam Ky,VN,2021-02-04 02:16:27,15.5667,108.4833,75.2,78,40,4.61
151,San Quintin,MX,2021-02-04 02:14:13,30.4833,-115.95,60.67,78,25,12.3
152,Provideniya,RU,2021-02-04 02:16:27,64.3833,-173.3,-7.17,82,69,14.5
153,Lasa,IT,2021-02-04 02:16:28,46.6166,10.7002,37.0,86,90,4.54
154,Castro,BR,2021-02-04 02:16:09,-24.7911,-50.0119,69.08,90,100,3.13
155,Talaya,RU,2021-02-04 02:16:28,61.3833,152.75,-19.39,84,100,9.89
156,Kilindoni,TZ,2021-02-04 02:16:28,-7.9139,39.6668,80.67,75,99,5.14
157,Nikolskoye,RU,2021-02-04 02:16:28,59.7035,30.7861,16.0,85,90,15.66
158,Omsukchan,RU,2021-02-04 02:16:28,62.5333,155.8,-9.63,87,100,14.76
159,Beringovskiy,RU,2021-02-04 02:16:29,63.05,179.3167,2.05,92,100,17.49
160,Itoman,JP,2021-02-04 02:16:29,26.1247,127.6694,69.8,49,20,10.36
161,Kamenka,RU,2021-02-04 02:13:29,51.3223,42.7678,36.0,97,100,8.32
162,Shellbrook,CA,2021-02-04 02:11:43,53.2168,-106.4011,5.0,72,90,11.5
163,Tuktoyaktuk,CA,2021-02-04 02:16:29,69.4541,-133.0374,-41.8,74,1,6.91
164,Batemans Bay,AU,2021-02-04 02:16:29,-35.7167,150.1833,79.0,81,55,17.0
165,Ust-Nera,RU,2021-02-04 02:16:29,64.5667,143.2,-15.14,80,100,4.45
166,Saint George,US,2021-02-04 02:16:29,37.1041,-113.5841,55.4,35,1,11.5
